№	Code	Brow.	Chart	Apple	Googᵈ	Twtr.	One	FBM	Wind.	Sams.	GMail	SB	DCM	KDDI	Name	Date	Default	Keywords
1	U+1F600	😀	😀	😀	😀	😀	😀	😀	😀	😀	😀	—	—	—	GRINNING FACE	2012ˣ	emoji	face | grin
2	U+1F601	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	😁	GRINNING FACE WITH SMILING EYES	2010ʲ	emoji	eye | face | grin | smile
3	U+1F602	😂	😂	😂	😂	😂	😂	😂	😂	😂	😂	😂	—	😂	FACE WITH TEARS OF JOY	2010ʲ	emoji	face | joy | laugh | tear
4	U+1F923	🤣	🤣	—	🤣	🤣	🤣	—	🤣	🤣	—	—	—	—	ROLLING ON THE FLOOR LAUGHING	2016ˣ	emoji	face | floor | laugh | rolling
5	U+1F603	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	😃	SMILING FACE WITH OPEN MOUTH	2010ʲ	emoji	face | mouth | open | smile
6	U+1F604	😄	😄	😄	😄	😄	😄	😄	😄	😄	😄	😄	—	—	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
≊ smiling face with open mouth & smiling eyes	2010ʲ	emoji	eye | face | mouth | open | smile
7	U+1F605	😅	😅	😅	😅	😅	😅	😅	😅	😅	😅	—	😅	—	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
≊ smiling face with open mouth & cold sweat	2010ʲ	emoji	cold | face | open | smile | sweat
8	U+1F606	😆	😆	😆	😆	😆	😆	😆	😆	😆	😆	—	😆	—	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
≊ smiling face with open mouth & closed eyes	2010ʲ	emoji	face | laugh | mouth | open | satisfied | smile
9	U+1F609	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	😉	WINKING FACE	2010ʲ	emoji	face | wink
10	U+1F60A	😊	😊	😊	😊	😊	😊	😊	😊	😊	😊	😊	—	😊	SMILING FACE WITH SMILING EYES	2010ʲ	emoji	blush | eye | face | smile
11	U+1F60B	😋	😋	😋	😋	😋	😋	😋	😋	😋	😋	—	😋	—	FACE SAVOURING DELICIOUS FOOD	2010ʲ	emoji	delicious | face | savouring | smile | um | yum
