,alternate_names,clean_name,description,name,shortcodes,url
0,"['Rollercoaster Emoji', 'Theme Park Emoji']",Roller Coaster,A roller coaster in a theme park going down a dip in the ride. Three carriages can be seen with two people in each red carriage.,_Ÿ_¢ Roller Coaster,[':roller_coaster:'],http://emojipedia.org/roller-coaster/
1,[],Ramadan,,"â˜ªRamadan",[],http://emojipedia.org/ramadan/
2,"['Â¥1000 Note Emoji', 'Yen Note Emoji']",Banknote With Yen Sign,A yen banknote from Japan.,_Ÿ’´ Banknote With Yen Sign,[':yen:'],http://emojipedia.org/banknote-with-yen-sign/
3,['Home Emoji'],House Building,"A house, otherwise known as a home when someone is living in it. Suitable for a couple or larger family, other perhaps housemates.",_Ÿè  House Building,[':house:'],http://emojipedia.org/house-building/
4,"['New York Taxi Emoji', 'Side Of Taxi Emoji', 'Taxicab Emoji']",Taxi,"A yellow taxicab,Â iconically seen in New York City. Shown from the side, as opposed to the oncoming taxi emoji.",_Ÿ_• Taxi,[':taxi:'],http://emojipedia.org/taxi/
5,"['Bike Emoji', 'Push Bike Emoji']",Bicycle,"A bicycle, sometimes called a push bike, used for transport or sport.",_Ÿ__ Bicycle,[':bike:'],http://emojipedia.org/bicycle/
6,[],Winter,,"â›„Winter",[],http://emojipedia.org/winter/
7,"['Clock Tower Emoji', 'Elementary School Emoji', 'High School Emoji', 'Middle School Emoji']",School,"A school building with multiple storeys, and a clock on the front. A place that children, or teenagers attend for their education.",_Ÿè« School,[':school:'],http://emojipedia.org/school/
8,[],Tram Car,"AÂ form of public transport on rails, usually found on streets in cities or other urban areas. For short or medium-length journeys.",_Ÿ_‹ Tram Car,[':train:'],http://emojipedia.org/tram-car/
9,[],Baggage Claim,"The Baggage Claim emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ›„ Baggage Claim,[':baggage_claim:'],http://emojipedia.org/baggage-claim/
10,[],Satellite,"A satellite which orbits the earth, and is generally used for communications, weather, and GPS.",_Ÿ›° Satellite,[],http://emojipedia.org/satellite/
11,"['Abandoned House Emoji', 'Old House Emoji']",Derelict House Building,"A house which isÂ unoccupied, and has become derelict. In a state of disrepair.",_Ÿè_ Derelict House Building,[],http://emojipedia.org/derelict-house-building/
12,"['Train Platform Emoji', 'Train Station Emoji']",Station,"A station, presumed to beÂ a train station. Displays a train alongside a platform, where passengers can board.",_Ÿ_‰ Station,[':station:'],http://emojipedia.org/station/
13,['City Sunset Emoji'],Sunset Over Buildings,"A beautiful view, featuring an orange sky, with the sun setting over the buildings of a city skyline.",_ŸŒ‡ Sunset Over Buildings,[':city_sunrise:'],http://emojipedia.org/sunset-over-buildings/
14,"['Laughing Emoji', 'Laughing Crying Emoji', 'Laughing Tears Emoji', 'LOL Emoji']",Face With Tears of Joy,A laughing emojiÂ which atÂ small sizes is often mistaken for being tears of sadness.Â This emoji is laughing so much that it is crying tears of joy.,_Ÿ˜‚ Face With Tears of Joy,[':joy:'],http://emojipedia.org/face-with-tears-of-joy/
15,[],Passenger Ship,"The Passenger Ship emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿ›_ Passenger Ship,[],http://emojipedia.org/passenger-ship/
16,"['Galaxy Emoji', 'Night Sky Emoji', 'Space Emoji', 'Stars Emoji', 'Universe Emoji']",Milky Way,The Milky Way â€“ a galaxy ofÂ billions of stars that includesÂ our ownÂ solar system and planet earth.,_ŸŒŒ Milky Way,[':milky_way:'],http://emojipedia.org/milky-way/
17,[],Thanksgiving,,"_Ÿ_ƒThanksgiving",[],http://emojipedia.org/thanksgiving/
18,"['Carnival Emoji', 'Fairground Emoji', 'Merry Go Round Emoji']",Carousel Horse,"AÂ wooden painted horse, found on the carousel at aÂ carnival. Faces to the left-of screen.",_Ÿ_  Carousel Horse,[':carousel_horse:'],http://emojipedia.org/carousel-horse/
19,[],Dragon Boat Festival,,"_Ÿ‡¨_Ÿ‡_Dragon Boat Festival",[],http://emojipedia.org/dragon-boat-festival/
20,"['24-Hour Store Emoji', '7-ElevenÂ® Emoji', 'Corner Shop Emoji', 'Kwik-E-Mart Emoji']",Convenience Store,"A shop that is generally open for longer hours than a regular supermarket, sometimes 24 hours per day.",_Ÿèª Convenience Store,[':convenience_store:'],http://emojipedia.org/convenience-store/
21,"['Electric Bus Emoji', 'Trolley Bus Emoji']",Trolleybus,A type of bus that uses overhead electrical wires for power. Appears similar to a cross between a bus and a tram car.,_Ÿ__ Trolleybus,[':trolleybus:'],http://emojipedia.org/trolleybus/
22,[],Bastille Day,,"_Ÿ‡«_Ÿ‡·Bastille Day",[],http://emojipedia.org/bastille-day/
23,"['Fog Emoji', 'Foggy City Emoji', 'Fog Bridge Emoji']",Foggy,"Foggy weather emoji.Â ShowsÂ fog covering a view of a bridge in Appleâ€™s artwork, whereas Google and Twitter display high-rise city buildings in the fog.",_ŸŒÅ Foggy,[':foggy:'],http://emojipedia.org/foggy/
24,[],High-Speed Train,"A high speed train, designed to cover long distances at high speed.",_Ÿ_„ High-Speed Train,[':bullettrain_side:'],http://emojipedia.org/high-speed-train/
25,['Pepsi Emoji'],Bus Stop,A sign indicating the location of a bus stop.,_Ÿ_è Bus Stop,[':busstop:'],http://emojipedia.org/bus-stop/
26,"['Accommodation Emoji', 'H Building Emoji']",Hotel,"A hotel building,Â displayed on most platforms as a building with many windows and a letter H on the front.",_Ÿè¨ Hotel,[':hotel:'],http://emojipedia.org/hotel/
27,['Traffic Light Emoji'],Vertical Traffic Light,"A set of red, orange (amber) and green traffic lights, used at intersections.Â More common than the horizontal traffic light.",_Ÿ__ Vertical Traffic Light,[':vertical_traffic_light:'],http://emojipedia.org/vertical-traffic-light/
28,"['Front Of Taxi Emoji', 'Taxicab Emoji']",Oncoming Taxi,"A yellow taxicab,Â iconically seen inÂ New York City. Shown from the front, as opposed to theÂ taxiÂ emoji which displays the side of the vehicle.",_Ÿ_– Oncoming Taxi,[':oncoming_taxi:'],http://emojipedia.org/oncoming-taxi/
29,"['Dinghy Emoji', 'Yacht Emoji']",Sailboat,"A sailboat, otherwise known as a sailing boat or yacht. Â Uses wind as the source of propulsion to move around a body of water.",â›µ Sailboat,"[':boat:', ':sailboat:']",http://emojipedia.org/sailboat/
30,[],Ferry,"The Ferry emoji was approved as part of Unicode 5.2 in 2009.Copy and paste this emoji using the text field below:",â›´ Ferry,[],http://emojipedia.org/ferry/
31,[],Chinese New Year,,"_Ÿê‰Chinese New Year",[],http://emojipedia.org/chinese-new-year/
32,"['Cruise Emoji', 'Cruise Ship Emoji']",Ship,"A large ship, used for transport of people or cargo across the ocean. May be a cruise ship, commonly found around tropical locations.",_Ÿ_¢ Ship,[':ship:'],http://emojipedia.org/ship/
33,[],Summer,,"â˜€Summer",[],http://emojipedia.org/summer/
34,[],House Buildings,Multiple houses.,_Ÿè˜ House Buildings,[],http://emojipedia.org/house-buildings/
35,"['Black And Yellow Striped Sign Emoji', 'Roadwork Emoji', 'Roadwork Sign Emoji']",Construction Sign,"A sign used to indicate roadwork or construction. Generally shown as yellow and black diagonal stripes, and often used to physically block access to a road or area.",_Ÿ_§ Construction Sign,[':construction:'],http://emojipedia.org/construction-sign/
36,[],Monorail,"Similar to a train, but running on a single track.Â Monorails are often found at theme parks, or other tourist destinations.",_Ÿ_ù Monorail,[':monorail:'],http://emojipedia.org/monorail/
37,"['Farm Emoji', 'Farming Emoji']",Tractor,"A tractor, may be used by a farmer or other occupation on the land.",_Ÿ_œ Tractor,[':tractor:'],http://emojipedia.org/tractor/
38,"['Aeroplane Emoji', 'Flight Emoji', 'Flying Emoji', 'Plane Emoji']",Airplane,"UsedÂ either as a literal airplane, or sometimes to represent an overseas vacation, or even airplane mode on a phone or tablet.",âœˆï¸è Airplane,[':airplane:'],http://emojipedia.org/airplane/
39,[],Emoji Movie,,"_Ÿ_¥Emoji Movie",[],http://emojipedia.org/emoji-movie/
40,['Post Office Emoji'],European Post Office,"A European-style post office. AÂ postal horn can be seen on the front, which is commonly found in the logos of European Postal Services.",_Ÿè_ European Post Office,[':european_post_office:'],http://emojipedia.org/european-post-office/
41,"['Bullet Train Emoji', 'Shinkansen Emoji']",High-Speed Train With Bullet Nose,"A high speed train, designed to cover long distances at high speed. Also features a streamlined bullet nose, often used in reference to the Shinkansen in Japan.",_Ÿ_… High-Speed Train With Bullet Nose,[':bullettrain_front:'],http://emojipedia.org/high-speed-train-with-bullet-nose/
42,"['City Building Emoji', 'High-Rise Building Emoji']",Office Building,"A generic, high-rise office building. Generally found in cities, and most active during business hours.",_Ÿè¢ Office Building,[':office:'],http://emojipedia.org/office-building/
43,"['Domed Roof Emoji', 'Minaret Emoji']",Mosque,"A mosque building, a place of worship for followes of Islam. Shown with a domed roof and a minaret.",_Ÿ•Œ Mosque,[],http://emojipedia.org/mosque/
44,[],Birthday,,"_Ÿ_‚Birthday",[],http://emojipedia.org/birthday/
45,"['Eiffel Tower Emoji', 'Red Tower Emoji']",Tokyo Tower,"The Tokyo Tower is the second-tallest building in Japan, located inÂ Minato, Tokyo.",_Ÿ—_ Tokyo Tower,[':tokyo_tower:'],http://emojipedia.org/tokyo-tower/
46,"['Admiralty Pattern Anchor Emoji', 'Fisherman Emoji']",Anchor,"A metal device, dropped out of a boat to prevent it drifting away from the current location.",â_“ Anchor,[':anchor:'],http://emojipedia.org/anchor/
47,['Campsite Emoji'],Camping,"A campsite featuring a tent and a tree, and perhaps a campfire. Similar to the tent emoji.",_Ÿè• Camping,[],http://emojipedia.org/camping/
48,"['Heart Hospital Emoji', 'Love Heart Hotel Emoji']",Love Hotel,"A love hotel is a hotel that can be hired by the hour, instead of as accommodation for the evening.",_Ÿè© Love Hotel,[':love_hotel:'],http://emojipedia.org/love-hotel/
49,[],Delivery Truck,"The Delivery Truck emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ__ Delivery Truck,[':truck:'],http://emojipedia.org/delivery-truck/
50,[],Graduation,,"_Ÿ_“Graduation",[],http://emojipedia.org/graduation/
51,"['Fuji-san Emoji', 'Snow-capped Mountain Emoji']",Mount Fuji,Mount Fuji (calledÂ Fuji-san in Japan) is the largest mountain in Japan. Often seen with snow on the peak in colder months of the year.,_Ÿ—» Mount Fuji,[':mount_fuji:'],http://emojipedia.org/mount-fuji/
52,"['Motorbike Emoji', 'Motorcycle Emoji']",Racing Motorcycle,"AÂ motorcycle, otherwise known as a motorbike used for sport/racing purposes. For a transport-based motorcycle, use a motor scooter.",_Ÿèç Racing Motorcycle,[],http://emojipedia.org/racing-motorcycle/
53,[],Easter,,"_Ÿê°Easter",[],http://emojipedia.org/easter/
54,[],Travel & Places,,"_ŸŒ‡Travel & Places",[],http://emojipedia.org/travel-places/
55,"['Diesel Train Emoji', 'Electric Train Emoji', 'Passenger Train Emoji', 'Regular Train Emoji']",Train,"A train, of no specified type.Â Due to the presence of a steam train and fast train emoji, this is likely to be a regular electrified or diesel passenger train.",_Ÿ_† Train,[':train2:'],http://emojipedia.org/train/
56,[],Cinco de Mayo,,"_Ÿ‡__Ÿ‡_Cinco de Mayo",[],http://emojipedia.org/cinco-de-mayo/
57,"['Blow A Kiss Emoji', 'Blowing Kiss Emoji', 'Kissing Emoji']",Face Throwing a Kiss,An emoji face blowing aÂ kiss;Â but officially called â€œFace Throwing A Kissâ€ù.,_Ÿ˜˜ Face Throwing a Kiss,[':kissing_heart:'],http://emojipedia.org/face-throwing-a-kiss/
58,"['Grass, Dumplings and Moon Emoji', 'Harvest Moon Emoji', 'Mid-Autumn Festival Emoji', 'Tsukimi Emoji']",Moon Viewing Ceremony,Moon Viewing Ceremonies (called Tsukimi in Japan) are held each year in autumn to celebrate the full moon and waxing moon inÂ Japan.,_Ÿ_‘ Moon Viewing Ceremony,[':rice_scene:'],http://emojipedia.org/moon-viewing-ceremony/
59,['Mecca Emoji'],Kaaba,A cube-shaped building located at the centre of the Al-Masjid al-Haram Mosque in Mecca.,_Ÿ•‹ Kaaba,[],http://emojipedia.org/kaaba/
60,[],Building Construction,"The Building Construction emoji was approved as part of Unicode 7.0 in 2014.Copy and paste this emoji using the text field below:",_Ÿè— Building Construction,[],http://emojipedia.org/building-construction/
61,"['Dusk City Emoji', 'Orange Sky City Emoji']",Cityscape at Dusk,"A view of city buildings as the last light disappears from the sky. An orange (or blue) glow lingers, before the stars of the night sky become visible.",_ŸŒ† Cityscape at Dusk,[':city_sunset:'],http://emojipedia.org/cityscape-at-dusk/
62,"['â‚¬100 Note Emoji', 'Euro Emoji']",Banknote With Euro Sign,"A Euro Banknote, used in many countriesÂ of the European Union. Commonly shown as the Hundred Euro (â‚¬100) note, or simplified toÂ display a Euro Symbol â‚¬.",_Ÿ’¶ Banknote With Euro Sign,[':euro:'],http://emojipedia.org/banknote-with-euro-sign/
63,"['Shopping Center Emoji', 'Shops Emoji']",Department Store,"A large department store, selling a range of products to the general public. Shown as a large building with a billboard on most platforms, or as a shopping bag on Windows.",_Ÿè¬ Department Store,[':department_store:'],http://emojipedia.org/department-store/
64,[],Motherâ€™s Day,,"_Ÿ‘©Motherâ€™s Day",[],http://emojipedia.org/mothers-day/
65,[],Food & Drink,,"_Ÿç”Food & Drink",[],http://emojipedia.org/food-drink/
66,[],Mountain Cableway,"The Mountain Cableway emoji was approved as part of Unicode 6.0 in 2010.Copy and paste this emoji using the text field below:",_Ÿ_  Mountain Cableway,[':mountain_cableway:'],http://emojipedia.org/mountain-cableway/
